transaction_id,account_id,customer_name,amount,balance_after,transaction_type,category,transaction_date,description,merchant,location
TXN001,ACC1001,John Smith,2500.00,15420.50,credit,salary,2023-01-01 09:00:00,Monthly Salary,TechCorp Inc,New York
TXN002,ACC1001,John Smith,-85.50,15335.00,debit,groceries,2023-01-02 14:23:15,Weekly Groceries,Whole Foods Market,New York
TXN003,ACC1001,John Smith,-45.00,15290.00,debit,utilities,2023-01-03 10:15:00,Internet Bill,Spectrum,New York
TXN004,ACC1002,Sarah Johnson,3200.00,22150.75,credit,salary,2023-01-01 09:00:00,Monthly Salary,FinanceHub LLC,Chicago
TXN005,ACC1002,Sarah Johnson,-120.00,22030.75,debit,shopping,2023-01-02 16:45:30,Clothing Purchase,Nordstrom,Chicago
TXN006,ACC1001,John Smith,-12.99,15277.01,debit,subscription,2023-01-04 00:00:00,Netflix Subscription,Netflix,Online
TXN007,ACC1003,Michael Chen,-250.00,8450.25,debit,transfer,2023-01-02 11:30:00,Transfer to Savings,Internal Transfer,San Francisco
TXN008,ACC1003,Michael Chen,1800.00,10250.25,credit,salary,2023-01-01 09:00:00,Bi-weekly Pay,StartupXYZ,San Francisco
TXN009,ACC1002,Sarah Johnson,-65.00,21965.75,debit,dining,2023-01-03 19:30:45,Dinner with Friends,The Capital Grille,Chicago
TXN010,ACC1001,John Smith,-35.00,15242.01,debit,transportation,2023-01-05 08:15:00,Uber Rides,Uber,New York
TXN011,ACC1004,Emily Davis,2800.00,18920.30,credit,salary,2023-01-01 09:00:00,Monthly Salary,HealthCare Plus,Boston
TXN012,ACC1004,Emily Davis,-150.00,18770.30,debit,healthcare,2023-01-03 14:00:00,Doctor Visit Copay,Boston Medical,Boston
TXN013,ACC1003,Michael Chen,-42.50,10207.75,debit,groceries,2023-01-04 17:20:00,Grocery Shopping,Trader Joes,San Francisco
TXN014,ACC1005,Robert Wilson,-500.00,5230.00,debit,rent,2023-01-01 00:00:00,Rent Payment - January,Apartment Complex,Austin
TXN015,ACC1005,Robert Wilson,1500.00,6730.00,credit,freelance,2023-01-05 15:00:00,Freelance Project Payment,Client ABC,Austin
TXN016,ACC1001,John Smith,-200.00,15042.01,debit,shopping,2023-01-06 12:30:00,Electronics Purchase,Best Buy,New York
TXN017,ACC1002,Sarah Johnson,-9.99,21955.76,debit,subscription,2023-01-05 00:00:00,Spotify Premium,Spotify,Online
TXN018,ACC1004,Emily Davis,-75.00,18695.30,debit,entertainment,2023-01-06 20:00:00,Concert Tickets,Ticketmaster,Boston
TXN019,ACC1003,Michael Chen,-28.00,10179.75,debit,dining,2023-01-05 12:45:00,Lunch Meeting,Chipotle,San Francisco
TXN020,ACC1005,Robert Wilson,-60.00,6670.00,debit,utilities,2023-01-06 10:00:00,Electric Bill,Austin Energy,Austin
TXN021,ACC1001,John Smith,150.00,15192.01,credit,refund,2023-01-07 11:00:00,Product Return Refund,Best Buy,New York
TXN022,ACC1002,Sarah Johnson,-180.00,21775.76,debit,travel,2023-01-07 14:30:00,Flight Booking,United Airlines,Chicago
