application_id,customer_id,application_date,first_name,last_name,age,gender,marital_status,dependents,education,employment_status,employer,years_employed,annual_income,monthly_expenses,existing_debt,credit_score,credit_history_years,num_credit_accounts,num_late_payments,bankruptcies,loan_purpose,loan_amount_requested,loan_term_months,property_ownership,state,debt_to_income_ratio,approved,approval_score,interest_rate_offered,rejection_reason
APP00001,CUST10001,2025-06-30,Margaret,Walker,60,Female,Divorced,2,Master's,Full-time,Government Corp,27,82443.88,3914.96,15976.55,719,13,1,1,0,Home Improvement,39337.53,12,Rent,AZ,54.17,True,55,8.29,
APP00002,CUST10002,2024-12-08,Brian,Young,60,Other,Married,1,Some College,Self-employed,,2,129692.92,7113.99,49791.96,701,5,4,0,0,Home Improvement,44851.47,24,Rent,FL,30.09,True,81,7.09,
APP00003,CUST10003,2025-03-09,Jennifer,Wilson,37,Male,Single,0,Bachelor's,Full-time,Tech Corp,14,90562.8,5452.57,14086.68,523,12,3,2,0,Debt Consolidation,24157.01,36,Rent,WA,14.08,True,55,14.28,
APP00004,CUST10004,2025-07-12,Richard,Sanchez,69,Male,Single,2,Some College,Self-employed,,20,57350.24,2133.35,19679.7,727,15,2,3,0,Debt Consolidation,30860.7,48,Rent,MA,24.89,True,70,7.46,
APP00005,CUST10005,2025-12-05,Jacob,Perez,72,Other,Single,1,Bachelor's,Full-time,Manufacturing Corp,23,75540.33,4714.23,28690.62,707,14,1,1,0,Debt Consolidation,49133.05,60,Own,TX,25.67,True,72,6.45,
APP00006,CUST10006,2024-12-20,Andrew,Williams,25,Other,Single,1,Some College,Unemployed,,0,6903.76,326.1,871.0,481,7,8,0,0,Home Purchase,722416.15,300,Rent,CA,422.77,False,0,,Incomplete application
APP00007,CUST10007,2025-04-27,Joseph,Thompson,64,Female,Widowed,0,Bachelor's,Full-time,Finance Corp,29,101707.62,6189.15,4809.38,669,24,4,1,0,Home Improvement,12885.51,60,Rent,WA,4.11,True,64,12.16,
APP00008,CUST10008,2025-07-12,Ryan,Williams,22,Female,Single,2,Doctorate,Full-time,Healthcare Corp,0,25957.18,1589.32,4383.81,525,4,1,4,0,Auto Loan,39824.34,36,Other,CA,56.77,False,25,,High DTI ratio
APP00009,CUST10009,2025-04-27,Kimberly,Martin,57,Other,Married,2,High School,Full-time,Manufacturing Corp,21,109797.06,3827.31,20545.03,679,13,2,1,0,Home Improvement,36241.57,12,Rent,WA,39.25,True,65,10.08,
APP00010,CUST10010,2025-01-26,Andrew,Moore,18,Male,Single,2,Bachelor's,Full-time,Finance Corp,0,25467.97,1367.96,3400.65,601,0,7,0,0,Medical,34574.58,36,Rent,TX,49.7,False,39,,Employment status
APP00011,CUST10011,2025-03-25,Rebecca,Hill,39,Other,Married,1,Bachelor's,Full-time,Healthcare Corp,12,102804.26,3537.38,16430.32,725,19,4,0,0,Vacation,5565.53,36,Other,GA,7.13,True,84,6.46,
APP00012,CUST10012,2025-02-25,Gary,Scott,40,Other,Married,0,Bachelor's,Full-time,Manufacturing Corp,13,127320.98,6006.97,47799.96,702,22,6,1,0,Vacation,21613.62,36,Own,NY,18.17,True,84,8.02,
APP00013,CUST10013,2025-03-26,Andrew,Scott,65,Male,Married,0,High School,Full-time,Finance Corp,24,66430.3,3936.05,31515.17,647,24,3,2,0,Vacation,10926.38,60,Other,TX,19.1,True,53,14.78,
APP00014,CUST10014,2025-08-22,Edward,Thompson,66,Other,Married,0,Some College,Full-time,Retail Corp,15,113032.12,6619.27,35620.7,710,10,5,2,0,Business,80895.61,120,Rent,TX,17.66,True,90,8.29,
APP00015,CUST10015,2025-10-01,Laura,Hernandez,73,Other,Married,0,Some College,Full-time,Finance Corp,20,70188.55,2407.56,23028.53,574,8,2,0,0,Vacation,42343.98,48,Own,MA,26.02,False,43,,Incomplete application
APP00016,CUST10016,2024-12-19,David,Hill,54,Other,Married,0,Bachelor's,Self-employed,,12,190733.13,9867.63,54292.77,708,7,3,1,0,Education,131717.19,84,Rent,FL,19.35,True,85,8.05,
APP00017,CUST10017,2025-03-23,Christopher,Robinson,41,Other,Married,0,Some College,Self-employed,,19,70683.61,3401.42,11405.66,728,8,5,1,0,Personal,47171.34,24,Rent,NY,38.75,True,69,6.19,
APP00018,CUST10018,2025-11-22,Cynthia,Allen,59,Other,Married,0,Bachelor's,Full-time,Retail Corp,27,92280.48,4261.25,11298.06,735,14,2,0,0,Education,177614.96,84,Other,CA,31.58,True,72,6.02,
APP00019,CUST10019,2025-06-12,Jessica,Hill,59,Female,Married,1,Bachelor's,Student,,0,17869.11,982.58,2617.49,516,14,4,0,0,Personal,26636.34,12,Rent,CA,153.95,False,2,,Low credit score
APP00020,CUST10020,2025-08-12,Charles,Taylor,66,Male,Single,2,Some College,Self-employed,,22,158108.24,5660.64,32640.9,714,23,5,2,0,Auto Loan,61929.62,60,Rent,CA,14.72,True,80,6.43,
APP00021,CUST10021,2025-09-01,Ashley,Taylor,39,Female,Single,4,Master's,Full-time,Manufacturing Corp,11,100020.49,5713.85,13767.77,645,10,1,2,0,Personal,36480.28,60,Rent,AZ,11.88,True,51,20.09,
APP00022,CUST10022,2025-10-30,Christopher,Torres,58,Male,Single,0,Some College,Full-time,Healthcare Corp,4,99915.52,5276.32,7320.12,610,9,1,1,0,Business,52027.23,84,Own,TX,9.88,True,59,20.87,
APP00023,CUST10023,2025-11-04,Stephanie,Walker,57,Male,Divorced,0,Bachelor's,Retired,,15,58896.13,3724.46,9255.42,712,1,6,0,0,Debt Consolidation,31421.09,60,Rent,GA,15.91,True,66,7.13,
APP00024,CUST10024,2025-07-31,William,Perez,32,Other,Divorced,0,Master's,Full-time,Government Corp,13,48972.4,2969.19,15915.95,739,14,4,1,0,Business,131512.22,60,Rent,GA,64.54,False,46,,Too many recent inquiries
APP00025,CUST10025,2025-01-17,Betty,White,60,Male,Married,1,Bachelor's,Full-time,Finance Corp,8,93848.14,5622.35,25962.36,690,6,3,1,0,Education,113797.89,120,Rent,MI,21.35,True,77,13.23,
APP00026,CUST10026,2025-09-01,Ashley,Anderson,62,Female,Single,4,Some College,Self-employed,,18,60163.21,3532.95,22353.96,757,16,8,0,0,Business,121595.74,60,Rent,AZ,52.81,True,57,5.77,
APP00027,CUST10027,2025-10-10,Michael,Lee,68,Female,Single,2,High School,Part-time,Retail Corp,27,18928.52,1201.95,1868.21,652,24,7,0,0,Auto Loan,43723.37,72,Rent,TX,41.79,False,47,,Too many recent inquiries
APP00028,CUST10028,2025-05-25,Matthew,Nguyen,69,Other,Married,0,Some College,Part-time,Government Corp,9,30110.86,1268.87,9053.65,635,18,11,1,0,Home Purchase,276223.44,360,Own,PA,40.6,False,35,,Insufficient income
APP00029,CUST10029,2025-01-10,Michelle,Lewis,25,Female,Married,1,High School,Retired,,7,57827.88,2587.67,13604.19,590,7,2,0,0,Personal,5293.28,60,Rent,PA,9.67,False,30,,High DTI ratio
APP00030,CUST10030,2025-09-26,Matthew,Miller,66,Other,Single,1,High School,Full-time,Retail Corp,25,71504.02,2792.89,3679.49,694,6,3,1,0,Business,81002.78,180,Rent,TX,9.27,True,69,13.64,
APP00031,CUST10031,2025-05-12,Christopher,Lee,51,Female,Single,2,Some College,Student,,0,16337.27,737.32,1868.36,612,24,5,0,0,Medical,40088.97,36,Own,GA,85.61,False,8,,Insufficient income
APP00032,CUST10032,2025-04-27,Jason,Torres,43,Male,Married,0,Some College,Self-employed,,21,30964.33,1771.85,5474.68,600,10,5,2,0,Medical,7488.83,48,Rent,CO,11.94,False,44,,Low credit score
APP00033,CUST10033,2025-02-28,Dorothy,Ramirez,68,Female,Married,3,Master's,Full-time,Manufacturing Corp,15,89064.77,5795.28,22397.27,614,2,4,0,0,Home Improvement,40886.36,60,Rent,CA,17.56,True,58,14.85,
APP00034,CUST10034,2025-05-02,Deborah,Young,33,Male,Married,0,Master's,Full-time,Tech Corp,10,64268.19,4235.66,20553.89,735,15,3,0,0,Medical,7669.26,12,Rent,CO,22.59,True,78,7.61,
APP00035,CUST10035,2025-09-05,Karen,Martinez,55,Female,Married,0,High School,Full-time,Tech Corp,27,63999.6,3809.9,18327.35,495,23,4,2,0,Auto Loan,43486.98,60,Other,MI,23.14,False,48,,Insufficient income
APP00036,CUST10036,2025-02-07,Laura,Wilson,29,Other,Married,2,Some College,Full-time,Retail Corp,0,49107.29,2998.29,6269.96,578,2,2,3,0,Education,83277.12,120,Rent,AZ,21.21,False,30,,Incomplete application
APP00037,CUST10037,2025-10-28,Melissa,Johnson,54,Male,Married,2,Bachelor's,Full-time,Manufacturing Corp,24,52245.88,1937.16,20640.71,653,6,3,0,0,Vacation,44288.64,36,Rent,TX,41.43,True,65,10.41,
