transaction_id,account_id,customer_name,account_type,amount,balance_after,transaction_type,category,transaction_date,description,merchant,location,is_recurring,flagged_suspicious,channel
TXN000001,ACC1269,Donna Perez,Checking,-388.43,24680.73,debit,Subscription,2025-02-21 10:49:52,Subscription - Subscription,Subscription,"San Diego, CA",True,False,Mobile
TXN000002,ACC1098,Kevin Johnson,Checking,215.2,44510.63,credit,Refund,2025-07-07 10:49:52,Refund - Refund,Refund,"Seattle, FL",False,False,Branch
TXN000003,ACC1447,Daniel White,Business,-35.83,11798.85,debit,Online Purchase,2025-08-30 10:49:52,Online Purchase - Online Purchase,Online Purchase,"Austin, GA",False,False,Online
TXN000004,ACC1089,Edward Flores,Business,-174.45,9231.09,debit,Insurance,2025-11-19 10:49:52,Insurance - Insurance,Insurance,"Dallas, GA",False,False,ATM
TXN000005,ACC1286,Richard White,Business,-386.73,45740.59,debit,Dining,2025-11-26 10:49:52,Dining - Chipotle,Chipotle,"Austin, GA",False,False,Branch
TXN000006,ACC1408,David King,Savings,-65.33,5159.93,debit,Dining,2025-06-20 10:49:52,Dining - DoorDash,DoorDash,"Boston, FL",False,False,Mobile
TXN000007,ACC1149,Jacob Davis,Business,48.72,47924.05,credit,Dividend,2025-07-22 10:49:52,Dividend - Dividend,Dividend,"Atlanta, TX",False,False,Online
TXN000008,ACC1478,Kenneth Gonzalez,Checking,-72.95,25273.93,debit,Dining,2025-10-04 10:49:52,Dining - DoorDash,DoorDash,"Los Angeles, FL",False,False,ATM
TXN000009,ACC1052,Michael Miller,Checking,-238.84,21675.22,debit,Online Purchase,2024-12-10 10:49:52,Online Purchase - Online Purchase,Online Purchase,"Philadelphia, WA",False,False,Branch
TXN000010,ACC1244,Sharon Miller,Business,-115.83,35418.77,debit,Entertainment,2025-05-21 10:49:52,Entertainment - AMC Theatres,AMC Theatres,"Los Angeles, IL",False,False,ATM
TXN000011,ACC1379,Sarah Martinez,Checking,-230.91,16317.18,debit,Groceries,2025-07-09 10:49:52,Groceries - Trader Joe's,Trader Joe's,"Philadelphia, CA",False,False,Online
TXN000012,ACC1254,Elizabeth Lewis,Savings,481.44,50210.04,credit,Dividend,2025-05-05 10:49:52,Dividend - Dividend,Dividend,"New York, CA",False,False,ATM
TXN000013,ACC1172,Melissa Walker,Business,-100.0,27791.76,debit,ATM Withdrawal,2025-02-14 10:49:52,ATM Withdrawal - ATM Withdrawal,ATM Withdrawal,"Denver, TX",False,False,ATM
TXN000014,ACC1084,Jason Scott,Checking,-60.0,7086.75,debit,ATM Withdrawal,2024-12-15 10:49:52,ATM Withdrawal - ATM Withdrawal,ATM Withdrawal,"San Jose, TX",False,False,Branch
TXN000015,ACC1460,David Taylor,Checking,-260.06,32621.68,debit,Healthcare,2025-07-01 10:49:52,Healthcare - CVS Pharmacy,CVS Pharmacy,"Philadelphia, AZ",False,False,Branch
TXN000016,ACC1004,Barbara Wilson,Checking,-72.54,25715.33,debit,Entertainment,2025-05-25 10:49:52,Entertainment - AMC Theatres,AMC Theatres,"New York, TX",False,False,Mobile
TXN000017,ACC1032,Christopher Robinson,Checking,-156.87,47990.76,debit,Shopping,2025-11-24 10:49:52,Shopping - Nordstrom,Nordstrom,"San Jose, TX",False,False,Branch
TXN000018,ACC1189,Mark King,Savings,-144.03,23257.68,debit,Entertainment,2025-02-24 10:49:52,Entertainment - Steam,Steam,"Jacksonville, WA",False,False,Branch
TXN000019,ACC1388,Rebecca Hernandez,Checking,-200.0,40782.21,debit,ATM Withdrawal,2025-04-13 10:49:52,ATM Withdrawal - ATM Withdrawal,ATM Withdrawal,"Chicago, FL",False,False,Mobile
TXN000020,ACC1040,Thomas Walker,Business,-65.44,8894.46,debit,Utilities,2025-08-23 10:49:52,Utilities - AT&T,AT&T,"Detroit, AZ",True,False,Branch
TXN000021,ACC1227,Rebecca Perez,Business,3726.13,13727.87,credit,Bonus,2025-08-15 10:49:52,Bonus - Bonus,Bonus,"Miami, CO",False,False,Online
