application_id,customer_id,application_date,first_name,last_name,age,gender,marital_status,dependents,education,employment_status,employer,years_employed,annual_income,monthly_expenses,existing_debt,credit_score,credit_history_years,num_credit_accounts,num_late_payments,bankruptcies,loan_purpose,loan_amount_requested,loan_term_months,property_ownership,state,debt_to_income_ratio,approved,approval_score,interest_rate_offered,rejection_reason
APP00001,CUST10001,2025-05-21,Lisa,Smith,24,Other,Married,2,Bachelor's,Full-time,Healthcare Corp,2,42777.63,1498.52,13489.38,674,6,3,0,0,Business,35480.22,84,Rent,MA,22.36,True,61,9.12,
APP00002,CUST10002,2025-05-19,Jeffrey,Young,45,Other,Married,0,Bachelor's,Self-employed,,20,36146.51,1526.72,9144.12,666,5,3,0,0,Vacation,37789.9,60,Rent,MA,29.34,True,54,13.66,
APP00003,CUST10003,2025-07-02,Betty,Garcia,57,Male,Married,0,Bachelor's,Full-time,Finance Corp,0,77607.96,5150.65,37001.91,697,6,3,0,0,Home Purchase,130809.39,180,Rent,TX,27.13,True,66,11.09,
APP00004,CUST10004,2025-10-12,Kimberly,Walker,68,Other,Widowed,1,Master's,Full-time,Healthcare Corp,18,82781.46,4300.69,4728.35,649,24,5,1,0,Debt Consolidation,46616.98,48,Own,TX,15.98,True,64,20.49,
APP00005,CUST10005,2024-12-12,Dorothy,King,27,Female,Married,2,Some College,Part-time,Manufacturing Corp,4,31707.17,1584.17,12338.78,599,9,1,2,0,Vacation,35717.06,60,Other,CA,35.5,False,27,,Low credit score
APP00006,CUST10006,2025-08-16,Joshua,Taylor,24,Female,Married,1,Some College,Self-employed,,4,124352.39,5517.98,28871.37,610,3,2,3,0,Home Improvement,44633.58,24,Own,MI,25.69,True,54,21.41,
APP00007,CUST10007,2025-06-08,Kathleen,Jones,67,Male,Single,0,Bachelor's,Full-time,Retail Corp,29,112251.46,7327.3,8645.94,813,19,4,1,0,Medical,23266.61,48,Own,TX,7.75,True,95,5.95,
APP00008,CUST10008,2024-12-05,Sharon,Thomas,36,Male,Married,1,Bachelor's,Full-time,Tech Corp,4,132407.66,8791.15,39288.4,775,1,4,1,0,Education,52858.6,120,Rent,IL,13.88,True,82,3.75,
APP00009,CUST10009,2025-01-21,Robert,Rodriguez,36,Male,Widowed,0,High School,Student,,0,9169.17,317.72,185.35,577,1,3,2,0,Education,141560.19,60,Rent,TX,309.45,False,-1,,High DTI ratio
APP00010,CUST10010,2025-01-03,Lisa,Sanchez,70,Female,Married,2,Some College,Student,,0,2688.46,147.28,1118.13,622,23,6,1,0,Business,132701.14,60,Rent,AZ,1001.05,False,9,,Employment status
APP00011,CUST10011,2025-07-03,Mark,Jackson,20,Male,Married,2,Master's,Full-time,Government Corp,1,33466.44,1350.42,6003.07,705,2,3,1,0,Debt Consolidation,36270.89,48,Own,MA,33.07,True,76,6.92,
APP00012,CUST10012,2025-05-20,Karen,Williams,23,Other,Single,2,Some College,Full-time,Retail Corp,3,46878.54,2203.1,2955.92,633,5,6,3,0,Debt Consolidation,9845.35,48,Rent,CA,7.35,False,42,,Too many recent inquiries
APP00013,CUST10013,2025-06-18,Joshua,Wilson,75,Male,Married,0,Bachelor's,Full-time,Retail Corp,25,52368.53,2983.51,1729.61,719,11,4,0,0,Debt Consolidation,22585.74,36,Rent,TX,15.48,True,71,8.52,
APP00014,CUST10014,2025-02-14,Dorothy,Ramirez,60,Male,Divorced,2,Some College,Full-time,Manufacturing Corp,15,114084.53,7442.35,54434.84,745,7,3,1,0,Debt Consolidation,5334.74,24,Rent,TX,18.24,True,83,6.28,
APP00015,CUST10015,2025-03-14,Rebecca,Williams,67,Male,Single,1,Bachelor's,Full-time,Government Corp,23,75250.93,3775.04,12686.55,612,17,3,1,0,Education,165036.51,120,Own,FL,27.55,True,53,17.86,
APP00016,CUST10016,2024-12-23,Betty,Ramirez,67,Female,Single,1,Some College,Retired,,20,52011.18,3406.88,14228.26,719,3,4,0,0,Personal,48386.41,60,Rent,CO,27.72,True,72,8.99,
APP00017,CUST10017,2025-03-28,Rebecca,Robinson,74,Other,Divorced,4,Some College,Part-time,Healthcare Corp,0,19618.9,1001.05,4407.1,590,2,2,2,0,Education,171090.38,84,Own,CA,132.07,False,4,,Employment status
APP00018,CUST10018,2025-08-12,Donald,Sanchez,18,Other,Single,0,Bachelor's,Full-time,Healthcare Corp,0,48965.94,3028.11,400.14,764,0,4,0,0,Business,118670.09,180,Rent,CA,16.43,True,90,5.47,
APP00019,CUST10019,2025-02-05,Kevin,Lopez,52,Other,Married,1,High School,Part-time,Healthcare Corp,21,15284.23,640.46,7233.86,664,6,3,0,0,Medical,8585.46,24,Rent,TX,43.86,False,20,,High DTI ratio
APP00020,CUST10020,2024-12-02,Christopher,White,24,Male,Single,1,Bachelor's,Self-employed,,6,79092.35,5126.14,3014.44,660,6,4,1,0,Vacation,36120.09,12,Own,TX,46.94,False,44,,Employment status
APP00021,CUST10021,2025-01-17,Carol,Davis,50,Female,Single,3,Master's,Self-employed,,17,162521.38,10536.48,54282.01,752,24,2,2,0,Personal,27985.08,48,Own,FL,15.44,True,88,5.46,
APP00022,CUST10022,2025-01-23,Barbara,Jones,28,Other,Married,0,Some College,Full-time,Finance Corp,3,46413.59,2508.0,691.31,669,10,3,2,0,Vacation,13737.67,36,Rent,WA,10.36,True,62,12.96,
APP00023,CUST10023,2024-12-19,William,Anderson,71,Female,Single,3,Bachelor's,Part-time,Tech Corp,21,33257.66,2143.92,6439.94,626,21,7,1,0,Personal,30085.6,48,Own,CA,29.07,True,50,16.95,
APP00024,CUST10024,2025-05-24,James,Lee,73,Male,Married,1,High School,Full-time,Government Corp,10,59385.57,2466.56,17604.42,709,18,4,0,0,Auto Loan,53652.15,36,Rent,MI,40.0,True,75,7.48,
APP00025,CUST10025,2025-01-08,Donna,Williams,72,Other,Single,0,Bachelor's,Full-time,Government Corp,9,115733.4,5427.4,57825.08,691,1,3,0,0,Debt Consolidation,36315.8,48,Other,WA,24.5,True,68,10.7,
