transaction_id,account_id,customer_name,account_type,amount,balance_after,transaction_type,category,transaction_date,description,merchant,location,is_recurring,flagged_suspicious,channel
TXN000001,ACC1264,Deborah Johnson,Savings,-479.36,10308.04,debit,Healthcare,2025-02-25 23:33:24,Healthcare - Quest Diagnostics,Quest Diagnostics,"New York, FL",False,False,Mobile
TXN000002,ACC1271,Edward Jackson,Savings,-80.0,19888.96,debit,ATM Withdrawal,2025-11-05 23:33:24,ATM Withdrawal - ATM Withdrawal,ATM Withdrawal,"Denver, TX",False,False,Online
TXN000003,ACC1004,Donald Scott,Savings,-36.53,19865.61,debit,Groceries,2024-12-14 23:33:24,Groceries - Safeway,Safeway,"Miami, WA",False,False,ATM
TXN000004,ACC1286,Charles Young,Business,-241.32,16998.46,debit,Online Purchase,2025-07-13 23:33:24,Online Purchase - Online Purchase,Online Purchase,"New York, IL",False,False,Branch
TXN000005,ACC1321,Edward Flores,Checking,-126.11,39262.74,debit,Shopping,2025-06-25 23:33:24,Shopping - Amazon,Amazon,"San Jose, CO",False,False,Online
TXN000006,ACC1017,Ashley Brown,Savings,-480.32,31438.72,debit,Subscription,2025-02-24 23:33:24,Subscription - Subscription,Subscription,"Los Angeles, CA",True,False,Branch
TXN000007,ACC1030,Barbara Wright,Checking,-395.19,22703.86,debit,Subscription,2025-03-15 23:33:24,Subscription - Subscription,Subscription,"Atlanta, MA",True,False,Mobile
TXN000008,ACC1194,Sarah Brown,Checking,-235.01,2809.41,debit,Shopping,2025-06-08 23:33:24,Shopping - Macy's,Macy's,"New York, CO",False,False,Online
TXN000009,ACC1193,Linda King,Business,-430.36,18455.91,debit,Gas Station,2025-07-02 23:33:24,Gas Station - Gas Station,Gas Station,"New York, FL",False,False,ATM
TXN000010,ACC1500,Anthony Flores,Savings,-100.0,5063.12,debit,ATM Withdrawal,2025-05-23 23:33:24,ATM Withdrawal - ATM Withdrawal,ATM Withdrawal,"Seattle, TX",False,False,Online
