application_id,customer_id,application_date,first_name,last_name,age,gender,marital_status,dependents,education,employment_status,employer,years_employed,annual_income,monthly_expenses,existing_debt,credit_score,credit_history_years,num_credit_accounts,num_late_payments,bankruptcies,loan_purpose,loan_amount_requested,loan_term_months,property_ownership,state,debt_to_income_ratio,approved,approval_score,interest_rate_offered,rejection_reason
APP00001,CUST10001,2025-07-15,Michael,Flores,62,Male,Single,0,High School,Full-time,Government Corp,10,87484.42,3030.33,12169.17,719,12,4,0,0,Home Improvement,9584.69,12,Own,TX,15.59,True,86,7.92,
APP00002,CUST10002,2025-11-15,Michelle,Moore,44,Male,Single,2,Bachelor's,Retired,,23,39438.91,1906.23,13996.2,570,1,2,1,0,Debt Consolidation,15258.6,12,Other,FL,50.52,False,1,,Too many recent inquiries
APP00003,CUST10003,2025-08-16,Edward,Jones,56,Female,Married,3,Some College,Self-employed,,7,56470.42,2192.81,25758.73,688,16,3,1,0,Auto Loan,33523.66,60,Own,TX,27.08,True,71,11.57,
APP00004,CUST10004,2025-09-03,Donna,Garcia,63,Other,Married,0,Bachelor's,Full-time,Finance Corp,9,77671.69,4865.2,12218.0,607,1,1,5,0,Debt Consolidation,30080.22,12,Own,TX,43.97,True,50,16.74,
APP00005,CUST10005,2025-07-31,Carol,White,69,Female,Single,1,Bachelor's,Self-employed,,19,181938.74,6184.41,51843.95,697,5,4,1,0,Home Improvement,34900.88,36,Rent,IL,15.89,True,64,12.12,
APP00006,CUST10006,2025-09-26,Sharon,Anderson,59,Other,Widowed,3,High School,Full-time,Finance Corp,14,102886.44,3730.42,43495.03,745,7,3,0,0,Home Improvement,10793.71,48,Rent,WA,16.71,True,71,8.3,
APP00007,CUST10007,2025-03-18,Robert,White,40,Other,Married,1,Bachelor's,Full-time,Tech Corp,8,137430.83,5665.75,53408.15,722,22,3,0,0,Home Improvement,48419.77,36,Own,FL,24.7,True,73,7.73,
APP00008,CUST10008,2025-02-08,Jessica,Flores,65,Other,Single,1,High School,Self-employed,,0,72114.63,3785.97,13482.63,565,4,4,1,0,Home Improvement,18882.0,48,Own,FL,12.78,True,57,21.12,
APP00009,CUST10009,2025-01-05,Deborah,Taylor,43,Other,Single,1,Master's,Full-time,Government Corp,5,88966.69,3341.28,5280.19,636,20,3,0,0,Auto Loan,34726.51,60,Rent,TX,9.78,True,61,19.61,
APP00010,CUST10010,2025-07-07,Richard,Robinson,66,Other,Married,3,Bachelor's,Unemployed,,0,12828.9,767.72,6161.01,495,14,2,1,0,Vacation,26868.36,60,Rent,PA,57.9,False,-8,,High DTI ratio
APP00011,CUST10011,2025-03-26,Melissa,Gonzalez,53,Male,Single,1,Bachelor's,Full-time,Tech Corp,13,90540.84,3180.06,41528.04,711,10,3,1,0,Auto Loan,71063.99,36,Own,TX,41.45,True,79,7.9,
APP00012,CUST10012,2025-10-03,Ryan,Young,35,Female,Widowed,2,Some College,Full-time,Healthcare Corp,7,103622.44,5104.63,34984.43,724,17,5,0,0,Vacation,16089.97,36,Own,MI,16.43,True,74,8.19,
APP00013,CUST10013,2025-02-28,Nancy,Martinez,54,Other,Widowed,0,Some College,Part-time,Manufacturing Corp,4,21767.78,1441.25,3186.25,707,19,5,0,0,Medical,38261.75,48,Own,GA,48.82,False,39,,Low credit score
APP00014,CUST10014,2025-09-14,Margaret,Rodriguez,70,Other,Married,1,Master's,Full-time,Government Corp,13,62027.35,2131.66,10165.69,715,14,3,2,0,Vacation,15841.73,36,Own,PA,13.98,True,84,8.2,
APP00015,CUST10015,2024-12-14,Kenneth,Harris,27,Female,Divorced,2,High School,Part-time,Healthcare Corp,3,28583.86,1690.08,2329.7,550,9,5,2,0,Debt Consolidation,29647.23,24,Rent,CA,54.58,False,-2,,Insufficient income
APP00016,CUST10016,2025-04-14,Robert,Brown,73,Male,Single,0,Bachelor's,Self-employed,,23,43344.86,2546.1,10314.89,641,15,7,4,0,Personal,12773.6,36,Rent,WA,17.76,True,50,16.61,
APP00017,CUST10017,2025-03-10,Robert,Lopez,57,Male,Single,2,Bachelor's,Unemployed,,0,1344.96,68.64,548.81,609,7,1,1,0,Vacation,39237.93,12,Rent,TX,2931.01,False,0,,Employment status
APP00018,CUST10018,2025-02-15,Gary,Allen,53,Female,Married,1,Some College,Full-time,Manufacturing Corp,22,118128.94,5259.91,41800.43,726,17,5,0,0,Vacation,48077.46,12,Rent,AZ,52.49,True,52,8.11,
APP00019,CUST10019,2025-10-01,Laura,Hernandez,69,Male,Widowed,2,Some College,Full-time,Tech Corp,8,90986.17,3906.74,23543.41,652,15,1,0,0,Personal,13819.17,48,Own,AZ,12.42,True,78,10.65,
APP00020,CUST10020,2025-09-16,Karen,Perez,74,Male,Single,1,Some College,Full-time,Healthcare Corp,9,75284.59,2635.38,14644.07,819,21,5,1,0,Business,125121.89,180,Own,NY,17.56,True,91,5.53,
APP00021,CUST10021,2025-05-11,Kathleen,Allen,19,Other,Married,0,Some College,Full-time,Government Corp,1,26396.15,1223.12,10085.4,643,1,2,1,0,Debt Consolidation,18350.88,12,Own,GA,82.26,False,33,,Too many recent inquiries
APP00022,CUST10022,2025-07-08,Joshua,Gonzalez,21,Male,Single,3,High School,Full-time,Government Corp,3,43351.5,2633.05,20004.67,656,3,5,0,0,Education,153213.75,180,Other,AZ,38.94,True,59,13.04,
APP00023,CUST10023,2025-05-07,Patricia,Torres,19,Other,Divorced,0,Some College,Full-time,Retail Corp,1,28892.03,1284.99,3470.34,530,1,6,1,0,Vacation,47453.47,60,Other,CA,36.85,False,35,,Insufficient income
APP00024,CUST10024,2025-02-05,Amy,Clark,75,Other,Married,2,Some College,Full-time,Government Corp,27,84060.17,4665.91,35288.2,692,24,3,1,0,Personal,14255.34,24,Rent,CA,22.47,True,69,13.34,
APP00025,CUST10025,2025-05-24,Richard,Rodriguez,28,Male,Single,1,Master's,Retired,,0,45708.12,2036.04,5684.67,621,4,5,1,0,Personal,48904.83,12,Own,MA,111.14,False,14,,Too many recent inquiries
APP00026,CUST10026,2025-07-09,Jennifer,Taylor,29,Male,Single,0,High School,Full-time,Manufacturing Corp,5,69570.06,3783.83,5681.52,673,3,6,0,0,Business,74160.56,180,Rent,MI,9.83,True,61,11.94,
APP00027,CUST10027,2025-09-05,Lisa,Martinez,51,Female,Married,1,Master's,Retired,,26,23783.13,857.41,11867.33,651,22,5,0,0,Personal,42193.05,36,Rent,IL,75.77,False,23,,Low credit score
APP00028,CUST10028,2025-01-27,Thomas,Taylor,37,Male,Single,4,High School,Full-time,Manufacturing Corp,9,99943.77,5395.23,5597.08,642,9,5,2,0,Business,98422.49,84,Own,NY,15.94,True,58,18.08,
APP00029,CUST10029,2024-12-17,Sarah,Hernandez,61,Other,Divorced,2,Doctorate,Full-time,Healthcare Corp,20,63435.56,3656.38,11096.01,640,24,2,2,0,Home Improvement,24096.6,12,Rent,FL,43.82,False,40,,Insufficient income
APP00030,CUST10030,2025-08-25,Deborah,Robinson,60,Other,Married,0,Some College,Full-time,Manufacturing Corp,26,112839.1,4294.08,16265.54,763,13,2,0,0,Home Improvement,39634.46,60,Own,FL,11.83,True,94,5.3,
APP00031,CUST10031,2025-05-22,Deborah,Ramirez,30,Female,Married,2,High School,Self-employed,,3,115178.12,7078.54,21259.37,693,6,1,0,0,Auto Loan,55258.19,72,Rent,FL,14.15,True,68,9.19,
APP00032,CUST10032,2025-04-29,Robert,Torres,59,Female,Single,1,Some College,Full-time,Manufacturing Corp,16,98682.29,6156.77,35426.31,720,25,1,0,0,Auto Loan,49544.05,48,Rent,IL,24.52,True,77,6.2,
