transaction_id,account_id,customer_name,account_type,amount,balance_after,transaction_type,category,transaction_date,description,merchant,location,is_recurring,flagged_suspicious,channel
TXN000001,ACC1198,Sarah Walker,Business,-1830.09,29160.41,debit,Rent/Mortgage,2025-03-08 15:19:33,Rent/Mortgage - Rent/Mortgage,Rent/Mortgage,"Chicago, CA",True,False,ATM
TXN000002,ACC1027,Anthony Allen,Savings,-1395.32,15960.33,debit,Rent/Mortgage,2025-08-08 15:19:33,Rent/Mortgage - Rent/Mortgage,Rent/Mortgage,"Seattle, TX",True,False,ATM
TXN000003,ACC1264,Sharon Young,Business,-1564.71,23635.27,debit,Rent/Mortgage,2025-05-28 15:19:33,Rent/Mortgage - Rent/Mortgage,Rent/Mortgage,"Detroit, CA",True,False,Online
TXN000004,ACC1350,Rebecca Taylor,Savings,-199.53,2128.03,debit,Subscription,2025-10-06 15:19:33,Subscription - Subscription,Subscription,"Houston, NY",True,False,ATM
TXN000005,ACC1134,Kevin Lewis,Savings,-450.14,16201.99,debit,Dining,2025-06-24 15:19:33,Dining - DoorDash,DoorDash,"Seattle, IL",False,False,Online
TXN000006,ACC1418,Sarah Walker,Checking,-9.28,7611.67,debit,Shopping,2024-12-18 15:19:33,Shopping - Apple Store,Apple Store,"San Jose, CA",False,False,Online
TXN000007,ACC1438,Melissa Sanchez,Savings,-45.99,22921.28,debit,Transportation,2025-05-19 15:19:33,Transportation - Airport Parking,Airport Parking,"Los Angeles, TX",False,False,Mobile
TXN000008,ACC1050,Rebecca King,Business,-205.24,7656.92,debit,Shopping,2025-11-12 15:19:33,Shopping - Nordstrom,Nordstrom,"Seattle, FL",False,False,Mobile
TXN000009,ACC1347,Sharon Moore,Savings,-249.54,15010.66,debit,Pharmacy,2025-10-29 15:19:33,Pharmacy - Pharmacy,Pharmacy,"Chicago, FL",False,False,Mobile
TXN000010,ACC1245,Donald Smith,Savings,-1290.99,18446.64,debit,Rent/Mortgage,2025-01-26 15:19:33,Rent/Mortgage - Rent/Mortgage,Rent/Mortgage,"Atlanta, PA",True,False,Online
