application_id,customer_id,application_date,first_name,last_name,age,gender,marital_status,dependents,education,employment_status,employer,years_employed,annual_income,monthly_expenses,existing_debt,credit_score,credit_history_years,num_credit_accounts,num_late_payments,bankruptcies,loan_purpose,loan_amount_requested,loan_term_months,property_ownership,state,debt_to_income_ratio,approved,approval_score,interest_rate_offered,rejection_reason
APP00001,CUST10001,2025-06-16,Kevin,Jones,44,Male,Married,2,High School,Full-time,Government Corp,9,91559.81,3262.49,22320.11,707,9,7,0,0,Vacation,8622.74,24,Own,CA,12.83,True,89,6.58,
APP00002,CUST10002,2025-04-21,Charles,Brown,26,Female,Single,0,Bachelor's,Full-time,Healthcare Corp,4,70091.58,3051.39,28021.07,583,8,6,2,0,Home Purchase,714700.48,180,Own,TX,81.3,False,22,,Insufficient income
APP00003,CUST10003,2024-12-30,Donna,Hernandez,57,Other,Married,2,Bachelor's,Part-time,Government Corp,4,31499.13,1295.13,10740.16,656,17,3,1,0,Home Purchase,190307.1,240,Own,WA,41.57,False,30,,Low credit score
APP00004,CUST10004,2025-10-11,Ryan,Williams,49,Other,Married,0,Some College,Retired,,8,26990.45,1110.53,11098.34,554,20,5,6,0,Medical,18516.49,60,Own,CA,27.43,False,23,,Employment status
APP00005,CUST10005,2025-11-27,Donna,Brown,55,Male,Married,1,Bachelor's,Full-time,Government Corp,23,90253.51,5979.66,7859.07,665,5,1,1,0,Business,82879.87,84,Own,TX,16.02,True,60,11.93,
APP00006,CUST10006,2025-05-06,Anthony,Torres,65,Other,Married,2,Bachelor's,Self-employed,,17,165235.74,9052.58,55008.06,671,17,1,1,0,Education,152120.3,60,Own,IL,29.51,True,78,12.46,
APP00007,CUST10007,2025-02-19,George,Young,27,Female,Divorced,1,Bachelor's,Full-time,Manufacturing Corp,1,49132.39,2037.07,18697.19,622,9,6,1,0,Debt Consolidation,36039.09,24,Own,MI,49.36,False,22,,High DTI ratio
APP00008,CUST10008,2025-11-12,Jessica,Torres,20,Male,Single,2,Bachelor's,Full-time,Retail Corp,1,39150.28,2141.87,11932.31,722,2,2,0,0,Personal,16622.4,48,Own,NY,20.77,True,71,6.58,
APP00009,CUST10009,2025-05-26,Amanda,Clark,52,Male,Widowed,2,Bachelor's,Student,,0,12296.33,791.4,1431.34,750,9,5,1,0,Education,162762.79,60,Own,CO,268.61,False,40,,Incomplete application
APP00010,CUST10010,2025-02-11,Amanda,Wilson,64,Male,Married,1,Bachelor's,Self-employed,,11,128222.25,4294.95,44271.9,666,5,1,1,0,Vacation,48884.82,24,Other,TX,30.57,True,77,11.92,
