transaction_id,account_id,customer_name,account_type,amount,balance_after,transaction_type,category,transaction_date,description,merchant,location,is_recurring,flagged_suspicious,channel
TXN000001,ACC1313,Mary Flores,Checking,461.64,15324.78,credit,Refund,2025-09-18 15:29:47,Refund - Refund,Refund,"Miami, CO",False,False,Branch
TXN000002,ACC1335,Kevin White,Checking,-357.75,40853.98,debit,Gas Station,2025-11-19 15:29:47,Gas Station - Gas Station,Gas Station,"Phoenix, TX",False,False,Branch
TXN000003,ACC1140,Kenneth Taylor,Checking,-3405.41,8903.41,debit,Rent/Mortgage,2024-12-14 15:29:47,Rent/Mortgage - Rent/Mortgage,Rent/Mortgage,"San Diego, TX",True,False,Mobile
TXN000004,ACC1327,Jennifer Miller,Savings,-173.18,2131.99,debit,Shopping,2025-09-16 15:29:47,Shopping - Nordstrom,Nordstrom,"Los Angeles, TX",False,False,Mobile
TXN000005,ACC1393,Edward Flores,Savings,193.12,48748.91,credit,Refund,2025-09-03 15:29:47,Refund - Refund,Refund,"Los Angeles, CA",False,False,ATM
TXN000006,ACC1392,Gary Harris,Savings,-193.64,30979.21,debit,Subscription,2025-01-31 15:29:47,Subscription - Subscription,Subscription,"San Antonio, CA",True,False,Online
TXN000007,ACC1168,Steven Anderson,Savings,-3053.05,3599.8,debit,Rent/Mortgage,2025-06-14 15:29:47,Rent/Mortgage - Rent/Mortgage,Rent/Mortgage,"Dallas, TX",True,False,Mobile
TXN000008,ACC1232,Michael Lopez,Business,-471.87,26898.28,debit,Shopping,2025-08-11 15:29:47,Shopping - Amazon,Amazon,"Jacksonville, GA",False,False,ATM
TXN000009,ACC1270,Joseph Martinez,Savings,-13.19,15669.79,debit,Healthcare,2025-09-12 15:29:47,Healthcare - Hospital Copay,Hospital Copay,"Austin, AZ",False,False,Online
TXN000010,ACC1300,George Thompson,Savings,-495.29,34457.27,debit,Gas Station,2025-08-10 15:29:47,Gas Station - Gas Station,Gas Station,"Boston, CO",False,False,Branch
TXN000011,ACC1377,Deborah Hill,Savings,-389.92,46733.08,debit,Pharmacy,2025-03-17 15:29:47,Pharmacy - Pharmacy,Pharmacy,"San Jose, TX",False,False,Mobile
TXN000012,ACC1488,Amanda Smith,Checking,-1203.13,9865.03,debit,Rent/Mortgage,2025-08-08 15:29:47,Rent/Mortgage - Rent/Mortgage,Rent/Mortgage,"Houston, IL",True,False,Phone
TXN000013,ACC1329,Joshua Hill,Savings,1666.82,38398.47,credit,Freelance,2024-12-23 15:29:47,Freelance - Freelance,Freelance,"Denver, IL",False,True,ATM
TXN000014,ACC1081,Anthony Moore,Savings,-219.8,11161.55,debit,Insurance,2025-02-06 15:29:47,Insurance - Insurance,Insurance,"Houston, MA",False,False,Mobile
TXN000015,ACC1254,Sandra Clark,Business,-393.47,39676.1,debit,Gas Station,2025-04-03 15:29:47,Gas Station - Gas Station,Gas Station,"Denver, PA",False,False,Mobile
TXN000016,ACC1447,Donald Martinez,Savings,1822.09,31301.22,credit,Freelance,2024-12-19 15:29:47,Freelance - Freelance,Freelance,"San Antonio, TX",False,False,Online
TXN000017,ACC1471,Jeffrey Taylor,Savings,-364.39,16553.5,debit,Insurance,2024-12-19 15:29:47,Insurance - Insurance,Insurance,"Los Angeles, CA",False,False,Online
TXN000018,ACC1384,Nancy Moore,Savings,-20.0,13565.61,debit,ATM Withdrawal,2025-09-22 15:29:47,ATM Withdrawal - ATM Withdrawal,ATM Withdrawal,"Detroit, CO",False,False,Branch
TXN000019,ACC1375,Kenneth Miller,Checking,-421.12,50489.84,debit,Shopping,2025-05-26 15:29:47,Shopping - Apple Store,Apple Store,"New York, PA",False,False,Online
TXN000020,ACC1158,Jennifer Torres,Business,-3491.42,46165.07,debit,Rent/Mortgage,2025-03-11 15:29:47,Rent/Mortgage - Rent/Mortgage,Rent/Mortgage,"Jacksonville, TX",True,False,Online
TXN000021,ACC1185,Matthew Brown,Savings,174.16,12697.94,credit,Transfer In,2025-06-05 15:29:47,Transfer In - Transfer In,Transfer In,"Houston, MA",False,False,ATM
TXN000022,ACC1170,Nancy Harris,Checking,-495.83,11086.91,debit,Subscription,2025-08-20 15:29:47,Subscription - Subscription,Subscription,"Atlanta, CA",True,False,Online
TXN000023,ACC1329,Joshua Hill,Savings,-106.25,38441.03,debit,Insurance,2025-11-29 15:29:47,Insurance - Insurance,Insurance,"Boston, FL",False,False,Mobile
TXN000024,ACC1059,Lisa Thompson,Business,-282.43,29056.43,debit,Transportation,2025-10-15 15:29:47,Transportation - MTA,MTA,"Miami, FL",False,False,Online
TXN000025,ACC1254,Sandra Clark,Business,-3202.13,39757.89,debit,Rent/Mortgage,2025-03-31 15:29:47,Rent/Mortgage - Rent/Mortgage,Rent/Mortgage,"Denver, FL",True,False,Online
TXN000026,ACC1094,Amy Miller,Business,-90.05,10891.02,debit,Dining,2025-07-12 15:29:47,Dining - DoorDash,DoorDash,"Chicago, CA",False,False,ATM
TXN000027,ACC1459,Amanda Davis,Savings,-263.43,10682.49,debit,Shopping,2025-05-01 15:29:47,Shopping - Nordstrom,Nordstrom,"San Diego, TX",False,False,Online
TXN000028,ACC1162,Brian Ramirez,Business,-224.84,28026.08,debit,Groceries,2025-01-02 15:29:47,Groceries - Safeway,Safeway,"Austin, TX",False,False,ATM
TXN000029,ACC1285,Dorothy Taylor,Savings,-1700.74,3302.96,debit,Rent/Mortgage,2025-10-04 15:29:47,Rent/Mortgage - Rent/Mortgage,Rent/Mortgage,"Boston, FL",True,False,ATM
TXN000030,ACC1096,Emily Walker,Checking,1926.33,47722.96,credit,Freelance,2025-02-16 15:29:47,Freelance - Freelance,Freelance,"San Jose, MA",False,False,Mobile
TXN000031,ACC1469,Edward Nguyen,Checking,-235.29,15786.22,debit,Gas Station,2025-04-14 15:29:47,Gas Station - Gas Station,Gas Station,"Dallas, IL",False,False,Mobile
TXN000032,ACC1476,Kenneth Lopez,Business,-14.4,33275.14,debit,Entertainment,2025-03-03 15:29:47,Entertainment - Steam,Steam,"Dallas, TX",False,False,Online
TXN000033,ACC1208,Ashley Lee,Savings,-219.38,25311.34,debit,Groceries,2025-05-15 15:29:47,Groceries - Kroger,Kroger,"Dallas, TX",False,False,Mobile
TXN000034,ACC1198,John Harris,Checking,-32.86,26866.98,debit,Gas Station,2025-06-08 15:29:47,Gas Station - Gas Station,Gas Station,"Phoenix, FL",False,False,Mobile
TXN000035,ACC1475,Edward Scott,Business,-367.26,11695.15,debit,Healthcare,2025-11-21 15:29:47,Healthcare - Walgreens,Walgreens,"San Jose, TX",False,False,Phone
TXN000036,ACC1025,Joseph Walker,Checking,-72.04,40932.54,debit,Utilities,2025-04-08 15:29:47,Utilities - National Grid,National Grid,"Philadelphia, CA",True,False,Online
TXN000037,ACC1413,Ronald Torres,Business,-80.0,42792.4,debit,ATM Withdrawal,2025-08-22 15:29:47,ATM Withdrawal - ATM Withdrawal,ATM Withdrawal,"Phoenix, WA",False,False,Online
TXN000038,ACC1248,Kathleen Williams,Checking,-252.02,30492.32,debit,Insurance,2025-04-04 15:29:47,Insurance - Insurance,Insurance,"Atlanta, CA",False,False,Online
TXN000039,ACC1460,Jacob Harris,Checking,-216.56,49256.72,debit,Pharmacy,2025-11-09 15:29:47,Pharmacy - Pharmacy,Pharmacy,"Miami, IL",False,False,Mobile
TXN000040,ACC1205,Brian Jackson,Business,-20.0,29425.54,debit,ATM Withdrawal,2025-05-23 15:29:47,ATM Withdrawal - ATM Withdrawal,ATM Withdrawal,"Houston, FL",False,False,ATM
TXN000041,ACC1372,Charles Davis,Checking,-56.95,22418.33,debit,Subscription,2025-11-13 15:29:47,Subscription - Subscription,Subscription,"Atlanta, MA",True,False,Branch
TXN000042,ACC1447,Donald Martinez,Savings,-2642.86,31127.93,debit,Rent/Mortgage,2025-06-25 15:29:47,Rent/Mortgage - Rent/Mortgage,Rent/Mortgage,"Chicago, CA",True,False,ATM
TXN000043,ACC1325,Amanda Perez,Savings,-26.11,45363.84,debit,Subscription,2025-05-02 15:29:47,Subscription - Subscription,Subscription,"Denver, NY",True,False,Online
TXN000044,ACC1357,William Rodriguez,Checking,-117.53,25702.37,debit,Utilities,2025-09-15 15:29:47,Utilities - Spectrum,Spectrum,"Phoenix, NY",True,False,Online
TXN000045,ACC1269,Cynthia Martin,Checking,-81.01,22087.55,debit,Utilities,2025-05-01 15:29:47,Utilities - National Grid,National Grid,"San Antonio, AZ",True,False,Branch
TXN000046,ACC1485,Gary Gonzalez,Business,-213.91,49560.32,debit,Dining,2025-11-20 15:29:47,Dining - McDonald's,McDonald's,"Dallas, CA",False,False,ATM
TXN000047,ACC1364,Amanda Thomas,Checking,-113.96,22275.38,debit,Pharmacy,2025-07-18 15:29:47,Pharmacy - Pharmacy,Pharmacy,"Austin, FL",False,False,Mobile
TXN000048,ACC1404,Michael Walker,Business,-143.75,33795.44,debit,Entertainment,2025-01-11 15:29:47,Entertainment - Steam,Steam,"Boston, CO",False,False,Online
TXN000049,ACC1339,William Miller,Checking,-161.04,22929.31,debit,Utilities,2025-10-11 15:29:47,Utilities - Con Edison,Con Edison,"San Jose, TX",True,False,Online
TXN000050,ACC1244,Laura Hernandez,Checking,7801.53,43278.98,credit,Salary,2025-03-17 15:29:47,Salary - Salary,Salary,"Chicago, CO",True,False,Online
TXN000051,ACC1240,Dorothy Davis,Checking,405.05,37475.06,credit,Transfer In,2025-10-21 15:29:47,Transfer In - Transfer In,Transfer In,"Denver, TX",False,False,Mobile
TXN000052,ACC1333,Mary Thomas,Checking,-46.23,19366.78,debit,Groceries,2025-01-13 15:29:47,Groceries - Kroger,Kroger,"Atlanta, FL",False,False,Online
TXN000053,ACC1080,Timothy Martinez,Checking,-362.83,22569.34,debit,Online Purchase,2024-12-10 15:29:47,Online Purchase - Online Purchase,Online Purchase,"Phoenix, AZ",False,False,Online
TXN000054,ACC1351,Melissa Perez,Savings,-1782.53,39542.2,debit,Rent/Mortgage,2025-06-27 15:29:47,Rent/Mortgage - Rent/Mortgage,Rent/Mortgage,"Boston, TX",True,False,Mobile
TXN000055,ACC1061,Jacob Jackson,Checking,-23.94,37507.27,debit,Online Purchase,2025-03-10 15:29:47,Online Purchase - Online Purchase,Online Purchase,"New York, MI",False,False,ATM
TXN000056,ACC1108,Anthony King,Checking,-224.97,18239.64,debit,Subscription,2025-07-10 15:29:47,Subscription - Subscription,Subscription,"Denver, TX",True,False,Online
TXN000057,ACC1431,Linda Sanchez,Business,-2210.36,12272.2,debit,Rent/Mortgage,2025-01-07 15:29:47,Rent/Mortgage - Rent/Mortgage,Rent/Mortgage,"San Jose, TX",True,False,Branch
TXN000058,ACC1281,Anthony Flores,Business,-1997.28,33986.74,debit,Rent/Mortgage,2025-08-12 15:29:47,Rent/Mortgage - Rent/Mortgage,Rent/Mortgage,"Denver, IL",True,False,Mobile
TXN000059,ACC1086,Jacob White,Checking,-292.17,39716.53,debit,Utilities,2025-08-18 15:29:47,Utilities - Spectrum,Spectrum,"Boston, TX",True,False,Online
TXN000060,ACC1181,Kevin King,Savings,-17.19,29318.08,debit,Entertainment,2024-12-15 15:29:47,Entertainment - AMC Theatres,AMC Theatres,"Jacksonville, TX",False,False,Online
TXN000061,ACC1031,Robert Rodriguez,Checking,-117.54,32814.92,debit,Entertainment,2025-01-23 15:29:47,Entertainment - Spotify,Spotify,"New York, AZ",False,False,Branch
TXN000062,ACC1450,Ashley Rodriguez,Business,-144.0,21082.04,debit,Healthcare,2025-01-14 15:29:47,Healthcare - Quest Diagnostics,Quest Diagnostics,"Phoenix, CA",False,False,Online
TXN000063,ACC1275,Steven Davis,Checking,-120.0,17016.08,debit,ATM Withdrawal,2025-06-05 15:29:47,ATM Withdrawal - ATM Withdrawal,ATM Withdrawal,"Phoenix, CA",False,False,Mobile
TXN000064,ACC1049,Laura Gonzalez,Checking,-490.79,45974.66,debit,Online Purchase,2025-06-13 15:29:47,Online Purchase - Online Purchase,Online Purchase,"Atlanta, MA",False,False,Online
TXN000065,ACC1028,Kathleen Wright,Checking,-148.69,35124.64,debit,Entertainment,2025-06-30 15:29:47,Entertainment - Netflix,Netflix,"Boston, IL",False,False,Mobile
